等級,產品名稱,品牌,產品規格,產品售價,換算成本小計,數量,備註,最終成本,固定成本,變動成本,總成本,建議毛利,建議定價,建議定價坪,客戶坪數,材料成本,人事成本,總成本,建議定價,每坪定價,稅前淨利,公司入帳,忠忠,Neo
基礎方案,美工刀,無,1支,48,48,1,,48,795,578,2328,-,-,6390,10,5780,17500,23280,63900,6390,40620,12780,16704,11136
阿娘威修護方案,人事費用,-,小時,350,350,15,,5250,,5250,,50%,10500,,,,,,,,,,,
質感灰泥方案,美工刀,無,1支,48,48,1,,48,1053,4856,9406,-,-,33380,,,,,,,,,
質感灰泥方案,刮刀,無,1支,26,26,1,,26,,,,,,,,,,,,,,,
質感灰泥方案,噴灑瓶,無,1瓶,75,75,1,,75,,,,,,,,,,,,,,,
質感灰泥方案,抹布,無,1條,7,7,2,,14,,,,,,,,,,,,,,,
質感灰泥方案,N95口罩,3M,1個,30,30,1,,30,,,,,,,,,,,,,,,
質感灰泥方案,鋼刷,無,1把,79,79,1,,79,,,,,,,,,,,,,,,
質感灰泥方案,海綿推刀,無,1把,90,90,1,,90,,,,,,,,,,,,,,,
質感灰泥方案,軟板推刀,無,1支,90,90,1,,90,,,,,,,,,,,,,,,
質感灰泥方案,塑膠刮刀,無,1支,23,23,1,,23,,,,,,,,,,,,,,,
質感灰泥方案,養生膠帶,無,1捲,90,90,1,,90,,,,,,,,,,,,,,,
質感灰泥方案,砂紙,無,1片,4,4,2,,8,,,,,,,,,,,,,,,
質感灰泥方案,水桶,無,1桶,105,105,4,底漆、面漆、IC、灰泥,420,,,,,,,,,,,,,,,
質感灰泥方案,油漆刷,無,1支,20,20,3,底漆、面漆、IC,60,,,,,,,,,,,,,,,
質感灰泥方案,滾輪,無,1支,33,33,1,,33,,,,,,,,,,,,,,,
質感灰泥方案,高滲透防水結晶IC,德國SCHOMBURG,1袋/25KG,4200,462,3,三道塗刷,1386,0,4856,,80%,24280,,,,,,,,,,,
質感灰泥方案,透氣補土,凱恩,一桶/1KG,350,175,2,兩道塗刷,350,,,,,,,,,,,,,,,
質感灰泥方案,透氣底漆,凱恩,1桶/5L,2500,160,2,IC後、補土後,320,,,,,,,,,,,,,,,
質感灰泥方案,灰泥,樂土,1包/5KG,1250,1400,2,兩道塗刷,2800,,,,,,,,,,,,,,,
質感灰泥方案,人事費用,-,小時,350,350,13,,4550,,4550,,50%,9100,,,,,,,,,,,
尊爵修護方案,美工刀,無,1支,48,48,1,,48,1119,5846,11096,-,-,39730,,,,,,,,,
尊爵修護方案,刮刀,無,1支,26,26,1,,26,,,,,,,,,,,,,,,
尊爵修護方案,噴灑瓶,無,1瓶,75,75,1,,75,,,,,,,,,,,,,,,
尊爵修護方案,抹布,無,1條,7,7,2,,14,,,,,,,,,,,,,,,
尊爵修護方案,N95口罩,3M,1個,30,30,1,,30,,,,,,,,,,,,,,,
尊爵修護方案,鋼刷,無,1把,79,79,1,,79,,,,,,,,,,,,,,,
尊爵修護方案,海綿推刀,無,1把,90,90,1,,90,,,,,,,,,,,,,,,
尊爵修護方案,軟板推刀,無,1支,90,90,1,,90,,,,,,,,,,,,,,,
尊爵修護方案,塑膠刮刀,無,1支,23,23,1,,23,,,,,,,,,,,,,,,
尊爵修護方案,養生膠帶,無,1捲,90,90,1,,90,,,,,,,,,,,,,,,
尊爵修護方案,砂紙,無,1片,4,4,2,,8,,,,,,,,,,,,,,,
尊爵修護方案,水桶,無,1桶,105,105,4,底漆、面漆、IC、灰泥,420,,,,,,,,,,,,,,,
尊爵修護方案,油漆刷,無,1支,20,20,3,底漆、面漆、IC,60,,,,,,,,,,,,,,,
尊爵修護方案,滾輪,無,1支,33,33,2,底漆、礦物漆,66,,,,,,,,,,,,,,,
尊爵修護方案,高滲透防水結晶IC,德國SCHOMBURG,1袋/25KG,4200,462,3,三道塗刷,1386,0,5846,,80%,29230,,,,,,,,,,,
尊爵修護方案,透氣補土,凱恩,一桶/1KG,350,175,2,兩道塗刷,350,,,,,,,,,,,,,,,
尊爵修護方案,透氣底漆,凱恩,1桶/5L,2500,160,2,IC後、補土後,320,,,,,,,,,,,,,,,
尊爵修護方案,灰泥,樂土,1包/5KG,1250,1400,2,兩道塗刷,2800,,,,,,,,,,,,,,,
尊爵修護方案,礦物漆,凱恩,1桶/5L,4500,495,2,兩道塗刷,990,,,,,,,,,,,,,,,
尊爵修護方案,人事費用,-,小時,350,350,15,,5250,,5250,,50%,10500,,,,,,,,,,,
